type	time	latitude	longitude	altitude (ft)	speed (mph)	distance_interval (ft)	name	desc
T	2022-07-15 00:16:36.8	33.968016737	-118.446936165	6.4	0.0	0.00	2022-07-14 PM 05:16:36	
T	2022-07-15 00:16:38.7	33.967940591	-118.446925445	6.4	10.0	27.97		
T	2022-07-15 00:16:40.6	33.967916512	-118.446936248	6.5	3.4	9.37		
T	2022-07-15 00:16:42.5	33.967904236	-118.446915492	6.4	2.8	7.72		
T	2022-07-15 00:16:44.4	33.967899223	-118.446920252	6.4	0.8	2.33		
T	2022-07-15 00:16:46.3	33.967898706	-118.446926112	6.3	0.6	1.76		
T	2022-07-15 00:16:48.199	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:50.099	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:51.049	33.967898706	-118.446926112	6.3		0.31		
T	2022-07-15 00:16:52	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:53	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:55.001	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:56.001	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:57.001	33.967904771	-118.446919516	6.3	1.0	2.99		
T	2022-07-15 00:16:59.001	33.967913968	-118.446909893	6.3	1.7	4.45		
T	2022-07-15 00:17:01	33.967919770	-118.446905757	6.3	1.2	2.45		
T	2022-07-15 00:17:02	33.967919770	-118.446905757	6.3	0.6	0.00		
T	2022-07-15 00:17:03	33.967933886	-118.446898067	6.4	1.9	5.64		
T	2022-07-15 00:17:04	33.967933886	-118.446898067	6.4	1.9	0.00		
T	2022-07-15 00:17:05	33.967933886	-118.446898067	6.4	0.0	0.00		
T	2022-07-15 00:17:06	33.967933886	-118.446898067	6.4	0.0	0.00		
T	2022-07-15 00:17:07	33.967933886	-118.446898067	6.4	0.0	0.00		
T	2022-07-15 00:17:08	33.967933886	-118.446898067	6.4	0.0	0.00		
T	2022-07-15 00:17:09	33.967886491	-118.446936816	6.5	7.1	20.89		
T	2022-07-15 00:17:10	33.967886491	-118.446936816	6.5	7.1	0.00		
T	2022-07-15 00:17:11	33.967886491	-118.446936816	6.5	0.0	0.00		
T	2022-07-15 00:17:12	33.967886491	-118.446936816	6.5	0.0	0.00		
T	2022-07-15 00:17:13	33.967886491	-118.446936816	6.5	0.0	0.00		
T	2022-07-15 00:17:14	33.967886491	-118.446936816	6.5	0.0	0.00		
T	2022-07-15 00:17:15	33.967864975	-118.446940910	4.8	2.7	7.94		
T	2022-07-15 00:17:16	33.967864210	-118.446940880	4.2	2.8	0.00		
T	2022-07-15 00:17:17	33.967862760	-118.446938771	4.5	0.4	0.88		
T	2022-07-15 00:17:18	33.967862760	-118.446938771	4.5	0.3	0.00		
T	2022-07-15 00:17:19	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:20	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:21	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:22	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:23	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:24	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:25	33.967869659	-118.446948885	6.8	1.4	3.95		
T	2022-07-15 00:17:26	33.967867994	-118.446949676	6.6	1.3	0.62		
T	2022-07-15 00:17:27	33.967863297	-118.446953696	8.1	0.9	2.11		
T	2022-07-15 00:17:28	33.967862616	-118.446954355	8.5	0.8	0.44		
T	2022-07-15 00:17:29	33.967862616	-118.446954355	8.5	0.2	0.31		
T	2022-07-15 00:17:30	33.967869901	-118.446948918	6.5	1.1	3.15		
T	2022-07-15 00:17:31	33.967870873	-118.446952023	5.8	1.1	0.98		
T	2022-07-15 00:17:32	33.967871672	-118.446949265	4.2	0.2	0.88		
T	2022-07-15 00:17:33	33.967896283	-118.446939725	8.4	3.4	9.43		
T	2022-07-15 00:17:34	33.967880241	-118.446942333	7.1	1.3	5.91		
T	2022-07-15 00:17:35	33.967879391	-118.446937970	8.8	2.1	1.36		
T	2022-07-15 00:17:36.001	33.967873375	-118.446938772	4.0	0.9	2.20		
T	2022-07-15 00:17:37.001	33.967872525	-118.446931914	4.0	1.1	2.11		
T	2022-07-15 00:17:38.001	33.967871505	-118.446925549	2.6	1.4	1.99		
T	2022-07-15 00:17:39.001	33.967871505	-118.446925549	2.6	0.7	0.44		
T	2022-07-15 00:17:40.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:41.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:42.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:43.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:44.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:45.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:46.001	33.967852731	-118.446898697	12.6	3.6	10.63		
T	2022-07-15 00:17:47.001	33.967859855	-118.446902277	9.9	2.8	2.82		
T	2022-07-15 00:17:48.001	33.967859993	-118.446899841	8.0	0.9	0.76		
T	2022-07-15 00:17:49.001	33.967863446	-118.446900012	7.2	0.5	1.25		
T	2022-07-15 00:17:50.001	33.967875052	-118.446904397	7.2	1.9	4.43		
T	2022-07-15 00:17:51.001	33.967879767	-118.446906024	5.8	2.1	1.76		
T	2022-07-15 00:17:52.001	33.967876941	-118.446903412	5.6	0.3	1.28		
T	2022-07-15 00:17:53.001	33.967873510	-118.446905631	5.8	0.8	1.46		
T	2022-07-15 00:17:54.001	33.967873510	-118.446905631	5.8	0.5	0.00		
T	2022-07-15 00:17:55.001	33.967873510	-118.446905631	5.8	0.0	0.00		
T	2022-07-15 00:17:56.001	33.967882864	-118.446936143	5.7	3.4	9.84		
T	2022-07-15 00:17:57.001	33.967876318	-118.446931746	5.5	2.7	2.73		
T	2022-07-15 00:17:58.001	33.967878794	-118.446933096	3.5	0.6	1.08		
T	2022-07-15 00:17:59.001	33.967877576	-118.446934304	6.2	0.3	0.62		
T	2022-07-15 00:18:00.001	33.967876442	-118.446934455	4.0	0.4	0.44		
T	2022-07-15 00:18:01.001	33.967873146	-118.446934534	6.7	0.6	1.21		
T	2022-07-15 00:18:02.001	33.967872704	-118.446936645	6.2	0.5	0.70		
